image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
241,300,11400,375,11475,358175.1154461877,4729864.941377874,POINT (358175.1154461877 4729864.941377874)
242,300,11550,375,11625,358325.1154461877,4729864.941377874,POINT (358325.1154461877 4729864.941377874)
243,300,11700,375,11775,358475.1154461877,4729864.941377874,POINT (358475.1154461877 4729864.941377874)
244,300,11850,375,11925,358625.1154461877,4729864.941377874,POINT (358625.1154461877 4729864.941377874)
245,300,12000,375,12075,358775.1154461877,4729864.941377874,POINT (358775.1154461877 4729864.941377874)
246,300,12150,375,12225,358925.1154461877,4729864.941377874,POINT (358925.1154461877 4729864.941377874)
247,450,0,525,75,346775.1154461877,4729714.941377874,POINT (346775.1154461877 4729714.941377874)
248,450,150,525,225,346925.1154461877,4729714.941377874,POINT (346925.1154461877 4729714.941377874)
249,450,300,525,375,347075.1154461877,4729714.941377874,POINT (347075.1154461877 4729714.941377874)
250,450,450,525,525,347225.1154461877,4729714.941377874,POINT (347225.1154461877 4729714.941377874)
251,450,600,525,675,347375.1154461877,4729714.941377874,POINT (347375.1154461877 4729714.941377874)
252,450,750,525,825,347525.1154461877,4729714.941377874,POINT (347525.1154461877 4729714.941377874)
253,450,900,525,975,347675.1154461877,4729714.941377874,POINT (347675.1154461877 4729714.941377874)
254,450,1050,525,1125,347825.1154461877,4729714.941377874,POINT (347825.1154461877 4729714.941377874)
255,450,1200,525,1275,347975.1154461877,4729714.941377874,POINT (347975.1154461877 4729714.941377874)
256,450,1350,525,1425,348125.1154461877,4729714.941377874,POINT (348125.1154461877 4729714.941377874)
257,450,1500,525,1575,348275.1154461877,4729714.941377874,POINT (348275.1154461877 4729714.941377874)
258,450,1650,525,1725,348425.1154461877,4729714.941377874,POINT (348425.1154461877 4729714.941377874)
259,450,1800,525,1875,348575.1154461877,4729714.941377874,POINT (348575.1154461877 4729714.941377874)
260,450,1950,525,2025,348725.1154461877,4729714.941377874,POINT (348725.1154461877 4729714.941377874)
261,450,2100,525,2175,348875.1154461877,4729714.941377874,POINT (348875.1154461877 4729714.941377874)
262,450,2250,525,2325,349025.1154461877,4729714.941377874,POINT (349025.1154461877 4729714.941377874)
263,450,2400,525,2475,349175.1154461877,4729714.941377874,POINT (349175.1154461877 4729714.941377874)
264,450,2550,525,2625,349325.1154461877,4729714.941377874,POINT (349325.1154461877 4729714.941377874)
265,450,2700,525,2775,349475.1154461877,4729714.941377874,POINT (349475.1154461877 4729714.941377874)
266,450,2850,525,2925,349625.1154461877,4729714.941377874,POINT (349625.1154461877 4729714.941377874)
267,450,3000,525,3075,349775.1154461877,4729714.941377874,POINT (349775.1154461877 4729714.941377874)
268,450,3150,525,3225,349925.1154461877,4729714.941377874,POINT (349925.1154461877 4729714.941377874)
269,450,3300,525,3375,350075.1154461877,4729714.941377874,POINT (350075.1154461877 4729714.941377874)
270,450,3450,525,3525,350225.1154461877,4729714.941377874,POINT (350225.1154461877 4729714.941377874)
271,450,3600,525,3675,350375.1154461877,4729714.941377874,POINT (350375.1154461877 4729714.941377874)
272,450,3750,525,3825,350525.1154461877,4729714.941377874,POINT (350525.1154461877 4729714.941377874)
273,450,3900,525,3975,350675.1154461877,4729714.941377874,POINT (350675.1154461877 4729714.941377874)
274,450,4050,525,4125,350825.1154461877,4729714.941377874,POINT (350825.1154461877 4729714.941377874)
275,450,4200,525,4275,350975.1154461877,4729714.941377874,POINT (350975.1154461877 4729714.941377874)
276,450,4350,525,4425,351125.1154461877,4729714.941377874,POINT (351125.1154461877 4729714.941377874)
277,450,4500,525,4575,351275.1154461877,4729714.941377874,POINT (351275.1154461877 4729714.941377874)
278,450,4650,525,4725,351425.1154461877,4729714.941377874,POINT (351425.1154461877 4729714.941377874)
279,450,4800,525,4875,351575.1154461877,4729714.941377874,POINT (351575.1154461877 4729714.941377874)
280,450,4950,525,5025,351725.1154461877,4729714.941377874,POINT (351725.1154461877 4729714.941377874)
281,450,5100,525,5175,351875.1154461877,4729714.941377874,POINT (351875.1154461877 4729714.941377874)
282,450,5250,525,5325,352025.1154461877,4729714.941377874,POINT (352025.1154461877 4729714.941377874)
